%time,field.Angle1,field.Angle2,field.Angle3,field.Angle4,field.Angle5,field.Angle6
1554409401302160592,-0.166692438151,0.0,0.0,0.0,0.0,0.0
1554409401302339688,-0.166692438151,-0.0536892822266,0.0,0.0,0.0,0.0
1554409401302549875,-0.166692438151,-0.0536892822266,-0.00818122395833,0.0,0.0,0.0
1554409401302781526,-0.166692438151,-0.0536892822266,-0.00818122395833,-0.0807895865885,0.0,0.0
1554409401303009184,-0.166692438151,-0.0536892822266,-0.00818122395833,-0.0807895865885,-0.140614786784,0.0
1554409401303167125,-0.166692438151,-0.0536892822266,-0.00818122395833,-0.0807895865885,-0.140614786784,-0.078744280599
1554409401309324896,-0.14521672526,-0.0536892822266,-0.00818122395833,-0.0807895865885,-0.140614786784,-0.078744280599
1554409401309607999,-0.14521672526,-0.0623818326823,-0.00818122395833,-0.0807895865885,-0.140614786784,-0.078744280599
1554409401309637862,-0.14521672526,-0.0623818326823,-0.0214757128906,-0.0807895865885,-0.140614786784,-0.078744280599
1554409401309817074,-0.14521672526,-0.0623818326823,-0.0214757128906,-0.0777216276042,-0.140614786784,-0.078744280599
1554409401309972391,-0.14521672526,-0.0623818326823,-0.0214757128906,-0.0777216276042,-0.119650400391,-0.078744280599
1554409401310189607,-0.14521672526,-0.0623818326823,-0.0214757128906,-0.0777216276042,-0.119650400391,-0.051643976237
1554409401317978122,-0.18458886556,-0.0623818326823,-0.0214757128906,-0.0777216276042,-0.119650400391,-0.051643976237
1554409401318226403,-0.18458886556,-0.0480646907552,-0.0214757128906,-0.0777216276042,-0.119650400391,-0.051643976237
1554409401318414143,-0.18458886556,-0.0480646907552,0.00204530598958,-0.0777216276042,-0.119650400391,-0.051643976237
1554409401318614862,-0.18458886556,-0.0480646907552,0.00204530598958,-0.0807895865885,-0.119650400391,-0.051643976237
1554409401318880597,-0.18458886556,-0.0480646907552,0.00204530598958,-0.0807895865885,-0.152375296224,-0.051643976237
1554409401319104185,-0.18458886556,-0.0480646907552,0.00204530598958,-0.0807895865885,-0.152375296224,-0.119139073893
1554409401325517219,-0.151863969727,-0.0480646907552,0.00204530598958,-0.0807895865885,-0.152375296224,-0.119139073893
1554409401325665278,-0.151863969727,-0.0511326497396,0.00204530598958,-0.0807895865885,-0.152375296224,-0.119139073893
1554409401325824130,-0.151863969727,-0.0511326497396,-0.00204530598958,-0.0807895865885,-0.152375296224,-0.119139073893
1554409401326079739,-0.151863969727,-0.0511326497396,-0.00204530598958,-0.0715857096354,-0.152375296224,-0.119139073893
1554409401326191974,-0.151863969727,-0.0511326497396,-0.00204530598958,-0.0715857096354,-0.137546827799,-0.119139073893
1554409401326291404,-0.151863969727,-0.0511326497396,-0.00204530598958,-0.0715857096354,-0.137546827799,-0.0695404036458
1554409401333511887,-0.155443255208,-0.0511326497396,-0.00204530598958,-0.0715857096354,-0.137546827799,-0.0695404036458
