%time,field.Angle1,field.Angle2,field.Angle3,field.Angle4,field.Angle5,field.Angle6
1554333694484578811,-0.303727939453,0.0,0.0,0.0,0.0,0.0
1554333694484790451,-0.303727939453,-0.457125888672,0.0,0.0,0.0,0.0
1554333694484992041,-0.303727939453,-0.457125888672,-0.400879973958,0.0,0.0,0.0
1554333694485170283,-0.303727939453,-0.457125888672,-0.400879973958,0.159533867188,0.0,0.0
1554333694485354210,-0.303727939453,-0.457125888672,-0.400879973958,0.159533867188,0.143171419271,0.0
1554333694485505741,-0.303727939453,-0.457125888672,-0.400879973958,0.159533867188,0.143171419271,-0.272025696615
1554333694492030345,-0.304239265951,-0.457125888672,-0.400879973958,0.159533867188,0.143171419271,-0.272025696615
1554333694492175421,-0.304239265951,-0.456614562174,-0.400879973958,0.159533867188,0.143171419271,-0.272025696615
1554333694492310145,-0.304239265951,-0.456614562174,-0.399857320964,0.159533867188,0.143171419271,-0.272025696615
1554333694492483648,-0.304239265951,-0.456614562174,-0.399857320964,0.160045193685,0.143171419271,-0.272025696615
1554333694492628720,-0.304239265951,-0.456614562174,-0.399857320964,0.160045193685,0.143171419271,-0.272025696615
1554333694492739149,-0.304239265951,-0.456614562174,-0.399857320964,0.160045193685,0.143171419271,-0.273048349609
1554333694500254812,-0.304239265951,-0.456614562174,-0.399857320964,0.160045193685,0.143171419271,-0.273048349609
1554333694500423881,-0.304239265951,-0.456103235677,-0.399857320964,0.160045193685,0.143171419271,-0.273048349609
1554333694500656015,-0.304239265951,-0.456103235677,-0.399857320964,0.160045193685,0.143171419271,-0.273048349609
1554333694500780155,-0.304239265951,-0.456103235677,-0.399857320964,0.160045193685,0.143171419271,-0.273048349609
1554333694500936894,-0.304239265951,-0.456103235677,-0.399857320964,0.160045193685,0.143171419271,-0.273048349609
1554333694501072016,-0.304239265951,-0.456103235677,-0.399857320964,0.160045193685,0.143171419271,-0.273048349609
1554333694508041464,-0.301171306966,-0.456103235677,-0.399857320964,0.160045193685,0.143171419271,-0.273048349609
1554333694508176596,-0.301171306966,-0.462239153646,-0.399857320964,0.160045193685,0.143171419271,-0.273048349609
1554333694508286857,-0.301171306966,-0.462239153646,-0.40650456543,0.160045193685,0.143171419271,-0.273048349609
1554333694508428630,-0.301171306966,-0.462239153646,-0.40650456543,0.161579173177,0.143171419271,-0.273048349609
1554333694508533314,-0.301171306966,-0.462239153646,-0.40650456543,0.161579173177,0.146239378255,-0.273048349609
1554333694508687294,-0.301171306966,-0.462239153646,-0.40650456543,0.161579173177,0.146239378255,-0.26895773763
1554333694516332008,-0.2945240625,-0.462239153646,-0.40650456543,0.161579173177,0.146239378255,-0.26895773763
1554333694516513623,-0.2945240625,-0.475533642578,-0.40650456543,0.161579173177,0.146239378255,-0.26895773763
1554333694516732112,-0.2945240625,-0.475533642578,-0.420310380859,0.161579173177,0.146239378255,-0.26895773763
1554333694516883904,-0.2945240625,-0.475533642578,-0.420310380859,0.166692438151,0.146239378255,-0.26895773763
1554333694517063151,-0.2945240625,-0.475533642578,-0.420310380859,0.166692438151,0.151863969727,-0.26895773763
1554333694517278280,-0.2945240625,-0.475533642578,-0.420310380859,0.166692438151,0.151863969727,-0.259753860677
1554333694524000815,-0.290433450521,-0.475533642578,-0.420310380859,0.166692438151,0.151863969727,-0.259753860677
1554333694524129496,-0.290433450521,-0.482692213542,-0.420310380859,0.166692438151,0.151863969727,-0.259753860677
1554333694524269859,-0.290433450521,-0.482692213542,-0.428491604818,0.166692438151,0.151863969727,-0.259753860677
1554333694524387260,-0.290433450521,-0.482692213542,-0.428491604818,0.168737744141,0.151863969727,-0.259753860677
1554333694524537143,-0.290433450521,-0.482692213542,-0.428491604818,0.168737744141,0.155443255208,-0.259753860677
1554333694524669150,-0.290433450521,-0.482692213542,-0.428491604818,0.168737744141,0.155443255208,-0.254129269206
1554333694531965863,-0.290433450521,-0.482692213542,-0.428491604818,0.168737744141,0.155443255208,-0.254129269206
1554333694532112818,-0.290433450521,-0.482180887044,-0.428491604818,0.168737744141,0.155443255208,-0.254129269206
1554333694532255265,-0.290433450521,-0.482180887044,-0.42798027832,0.168737744141,0.155443255208,-0.254129269206
1554333694532394701,-0.290433450521,-0.482180887044,-0.42798027832,0.168737744141,0.155443255208,-0.254129269206
1554333694532530377,-0.290433450521,-0.482180887044,-0.42798027832,0.168737744141,0.154931928711,-0.254129269206
1554333694532686066,-0.290433450521,-0.482180887044,-0.42798027832,0.168737744141,0.154931928711,-0.254640595703
1554333694539934525,-0.291456103516,-0.482180887044,-0.42798027832,0.168737744141,0.154931928711,-0.254640595703
1554333694540040171,-0.291456103516,-0.480646907552,-0.42798027832,0.168737744141,0.154931928711,-0.254640595703
1554333694540215804,-0.291456103516,-0.480646907552,-0.426446298828,0.168737744141,0.154931928711,-0.254640595703
1554333694540445810,-0.291456103516,-0.480646907552,-0.426446298828,0.168226417643,0.154931928711,-0.254640595703
1554333694540521037,-0.291456103516,-0.480646907552,-0.426446298828,0.168226417643,0.154420602214,-0.254640595703
1554333694540618030,-0.291456103516,-0.480646907552,-0.426446298828,0.168226417643,0.154420602214,-0.255663248698
1554333694548057711,-0.292990083008,-0.480646907552,-0.426446298828,0.168226417643,0.154420602214,-0.255663248698
1554333694548331519,-0.292990083008,-0.481158234049,-0.426446298828,0.168226417643,0.154420602214,-0.255663248698
1554333694548493486,-0.292990083008,-0.481158234049,-0.42798027832,0.168226417643,0.154420602214,-0.255663248698
1554333694548633426,-0.292990083008,-0.481158234049,-0.42798027832,0.17078305013,0.154420602214,-0.255663248698
1554333694548785415,-0.292990083008,-0.481158234049,-0.42798027832,0.17078305013,0.155954581706,-0.255663248698
1554333694548911541,-0.292990083008,-0.481158234049,-0.42798027832,0.17078305013,0.155954581706,-0.256685901693
1554333694556171706,-0.295546715495,-0.481158234049,-0.42798027832,0.17078305013,0.155954581706,-0.256685901693
1554333694556306823,-0.295546715495,-0.482692213542,-0.42798027832,0.17078305013,0.155954581706,-0.256685901693
1554333694556380258,-0.295546715495,-0.482692213542,-0.432582216797,0.17078305013,0.155954581706,-0.256685901693
1554333694556529286,-0.295546715495,-0.482692213542,-0.432582216797,0.175384988607,0.155954581706,-0.256685901693
1554333694556678278,-0.295546715495,-0.482692213542,-0.432582216797,0.175384988607,0.159533867188,-0.256685901693
1554333694556816084,-0.295546715495,-0.482692213542,-0.432582216797,0.175384988607,0.159533867188,-0.257708554687
1554333694564000335,-0.297592021484,-0.482692213542,-0.432582216797,0.175384988607,0.159533867188,-0.257708554687
1554333694564193238,-0.297592021484,-0.483714866536,-0.432582216797,0.175384988607,0.159533867188,-0.257708554687
1554333694564315275,-0.297592021484,-0.483714866536,-0.434627522786,0.175384988607,0.159533867188,-0.257708554687
1554333694564437364,-0.297592021484,-0.483714866536,-0.434627522786,0.177941621094,0.159533867188,-0.257708554687
1554333694564620942,-0.297592021484,-0.483714866536,-0.434627522786,0.177941621094,0.162090499674,-0.257708554687
1554333694564758022,-0.297592021484,-0.483714866536,-0.434627522786,0.177941621094,0.162090499674,-0.258731207682
1554333694571932399,-0.297080694987,-0.483714866536,-0.434627522786,0.177941621094,0.162090499674,-0.258731207682
1554333694572068425,-0.297080694987,-0.483714866536,-0.434627522786,0.177941621094,0.162090499674,-0.258731207682
1554333694572216264,-0.297080694987,-0.483714866536,-0.434627522786,0.177941621094,0.162090499674,-0.258731207682
1554333694572393479,-0.297080694987,-0.483714866536,-0.434627522786,0.177941621094,0.162090499674,-0.258731207682
1554333694572572273,-0.297080694987,-0.483714866536,-0.434627522786,0.177941621094,0.161579173177,-0.258731207682
1554333694572704513,-0.297080694987,-0.483714866536,-0.434627522786,0.177941621094,0.161579173177,-0.258731207682
1554333694580218369,-0.29656936849,-0.483714866536,-0.434627522786,0.177941621094,0.161579173177,-0.258731207682
1554333694580378907,-0.29656936849,-0.483714866536,-0.434627522786,0.177941621094,0.161579173177,-0.258731207682
1554333694580716063,-0.29656936849,-0.483714866536,-0.433604869792,0.177941621094,0.161579173177,-0.258731207682
1554333694580962912,-0.29656936849,-0.483714866536,-0.433604869792,0.177430294596,0.161579173177,-0.258731207682
1554333694581113573,-0.29656936849,-0.483714866536,-0.433604869792,0.177430294596,0.161579173177,-0.258731207682
1554333694581299597,-0.29656936849,-0.483714866536,-0.433604869792,0.177430294596,0.161579173177,-0.258731207682
1554333694588154350,-0.29656936849,-0.483714866536,-0.433604869792,0.177430294596,0.161579173177,-0.258731207682
1554333694588319027,-0.29656936849,-0.483714866536,-0.433604869792,0.177430294596,0.161579173177,-0.258731207682
